사건명	상황	스킬	부가 설명	대사
				물리 대미지 15%감소에 체력과 근력을 20씩 올려주는 장비 효과까지 기가 막히는 걸!
				게다가 룬석 '지배자의 손길' 어떤 스킬인 거지?
				조만간 알게 되겠지
				그보다... 즉시 귀환석? 
				왜 이 타잉밍에 귀환석이 나오는 거지?
				설마 전직 퀘스트가 아직 끝나지 않았단 뜻인가?
				버텨낸 시간만큼 포인트?" 상위 클래스란 뭐지?
				행운을 빕니다'라니... 무제한 웨이브인가!
				이그리트 급의 놈들이었으면 초 단위도 버티기 힘들었을 거야
				이놈들이라면 지금의 나로도 충분히 쓰러뜨릴 수 있다
				하지만 이 숫자는 골치 아프군!
				빌어먹을! 미친 듯이 쓰러뜨려도 끝도없이 게이트에서 솟아 나오잖아!
				이 전직 퀘스트는 경과 시간이 열쇠다
				그렇다면 은신은 발동할 때 200, 유지에 1초당 1의 마나가 필요해
				남은 건 190, 최대한 시간을 벌어보자
				은신을 간파했어! 
				이제 은신도 살기도 쓸 수 없어!
				경과 시간은? 이제 겨우 5분? 승산이 없어
				아쉽지만 여기서 귀환석을 써서...
				순식간에 귀환석을 잃어버렸다...
				지금은 찾을 여유가 없어! 
				이 녀석을 전부 쓰러뜨리는 거 말고 내게 살아남을 길은 없다
				체력은 한계에 이르렀고 은신도 한계도 쓸 수 없어
				그렇다고 내가 포기할 것 같아?
				난 반드시 살아남을 거야!
				계속 밑바닥에 있었기에 누구보다 약자의 설움을 잘 알고 있다! 그래도 높은 곳에 대한 갈망을 버릴 수 없었다!  
				자업자득이야. 왜 굳이 위험한 길로 가려고 하는 거지? E급 헌터였던 네가 그 정도까지 성장했어. 그것만으로도 충분한 것 같은데, 안 그래?   
				하지만 변한 건 겉모습뿐이고 내면은 여전히 약해빠졌어. 결국 또 죽게 생겼잖아. 
				분수를 모르면 무모한 법이지. 
				널 죽게 만드는 건 바로 너 자신이야. 결국 똑같아, 그 때와...
				그래, 살아남는다면 또 보게 되겠지. 내 숨통을 끊어 놓지 못한다면 어설프게 고통을 주는 건 날 더 강하게 만들 뿐이다!  
				거부한다. 
				비명 같은 게 들린다. 마치 고통스럽다고 호소하는 듯하군. 
				이미 떠난 녀석의 빈자리 따윈 지키지 말고 눈 앞에 있는 날 지켜라. 
				여기는 페널티 존?
				그러고 보니 오늘 일일 퀘스트를 아직 끝내지 못했구나
				어쨌든 간에 타이밍 좋네 덕분에 살았어
				뭐든 상관없어 피로도가 90을 넘은 건 이번이 처음이야
				또 보자고? 그래 살아남는다면 또 보게 되겠지
				내 숨통을 끊어 놓지 못한다면 어설프게 고통을 주는 건 날 더 강하게 만들 뿐이다!
				레벨업으로 회복할 수 있는 건 편리하네
				시간도 10분 이상 남았어
				이 틈에 무기를 준비해 놔야겠군
				나이트 킬러, 인형의 마수한테 25%의 추가 데미지
				좀 비싸긴 하지만 나쁘진 않아
				좋아, 다음은 이거다 이그리트전에서 손에 넣었던 룬석
				아직 너무 큰 건 움직일 수 없는 모양이네
				지금 준비해 둘 수 있는 건 이 정도이군
				나머지는 운에 맡기는 수밖에 없어
				겨우 몇 시간 사이에 숫자가 부쩍 늘었는데?
				나이트 킬러? 꽤 쓸 만한데? 맨손보다 훨씬 나아
				근데 이 위화감은 뭐지? 아무리 쓰러뜨려도 반응이 없고 레벨업할 기미조차 없어!
				게다가 마법사는 뭘 하고 있는 거지?
				주문을 외우면서도 마법 공격은 하지 않아
				공격은 기사들에게 맡겨 둔 채 뭘 하고 있는거지?
				게이트다, 소환 마법인가?
				기사들은 그저 소환된 것뿐인 병기 같은 존재야
				그래서 쓰러뜨려도 경험치를 얻을 수 없는 거야
				그렇다면 노려야 할 건, 마법사, 너희들이다!
				역시 그렇군 표적은 마법사야
				그것만 알면! 남은 건 다섯! 이제 넷! 언제까지 뒤에 숨어 있을 셈이냐?
				이제 셋! 골렘? 기사들을 모아 강력한 놈을 만들 셈이었겠지만
				머릿수가 줄어서 노리기가 훨씬 쉬어졌다!
				술자는 사라졌잖아! 이제 얌전히... 찌그러져 있어!
				끝난 것 같군 이제 어떻게 되는 거지?
				획득한 포인트에 따라 상위 클래스로 전직합니다.' '전직 퀘스트에서의 활약을 분석하여 합당한 직업을 부여합니다.'
				선택하는 게 아닌가?
				무슨 소리지? '망자들의 군대?'
				잠깐만, 이게 뭐야? 이게 내 직업이라고? 네크로맨서? 
				그동안 지능 능력치는 거의 올리지 않았잖아!
				네크로맨서라고 하면, 언데드계의 마수를 소환해서 사역하는 마법계 직업이야
				반면에 난 암살계에 전투 스타일도 근접전이야
				스테이터스도 근력을 중점적으로 올렸다고 스킬도!
				후위직인 네크로맨서가 되면 그것도 다 무용지물이 돼
				수락, 거부' 거부할 수 있는 거야?
				네크로맨서로의 전직이라니 리턴이 너무 미지수야 거부한다
				히든 클래스?' 뭔가 특수한 힘이 있다는 건가
				네크로맨서라니 뭔가 견본 같은 게 있다면...
				소환 마법!
				그래, 이 마법사들이 썼던 소환 마법도 타인을 사역한다는 의미에선 네크로맨서와 비슷한 의미야
				게다가 이곳에서의 전퉅는 전부 지금까지의 전투를 복습하는 것 같았어
				전직이니 뭐니 선택지가 있는 것처럼 해놓고선 다 짜여있었던 거야?시스템 짓인가?
				어쨌든 재밌군 이 녀석들은 스스로 싸울 힘이 없었다
				하지만 나한텐 있어 네크로맨서가 전선에서 싸우면 안 된다는 법도 없고 직업도 스테이터스 중 하나라면 레벨업과 함께 스킬처럼 강화될 거다
				그에 따라 망자의 군대란 게 강해져도 이상하지 않아
				즉. 나 혼자만 레벨업 하는 게 아니게 된다. 좋아 "수락"
				단숨에 2차 전직이라니 그렇게까지 포인트를 축적했나?
				보상이 도착했다는 건 퀘스트가 끝난 건가?
				그럼 이제 전직이 된 거야?
				비명 같은 게 들린다. 마치 고통스럽다고 호소하는 듯 하군
				이거 멋진데
				전용 스킬 그림자 추출과 그림자 저장?
				기사단장 핏빛의 이그리트 이 녀석을 수하로 둘 수 있다면... 일어나라
				뭐야 이게 아까 쓰여 있었던 건가?
				검을 바칠 상대가 필요하다면 날 섬겨라
				이미 떠난 녀석의 빈자리 따위가 아니라
				눈앞에 있는 날 지켜라. 일어나라
				이그리트. 그게 네 이름이다
				잘 부탁한다. 
